Title,Url,Page,Location on page,Side,Drawing Inscription,Drawing Date,Support Material,Drawing Medium and Style,Set of Drawings,Drawing Source,Title of depicted object,Current Location,GeolocCurrentLocation,Current inventory no.,Source object material,Source object type,Date,Discovery date,Archeological Findspot,geolocFindspot,Provenance,Collector,Iconography,Tracing Source,Online Collection Record,Bibliographic References:,Notes,Updated date
Bassorilievo - Egyptian head,http://digitalmontagny.inha.fr/en/record/montagny11v06c,Folio 11 Verso,"Leaf 11v, bottom of the page, right",Vertical,,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,"Egyptian Goddesses, demi-goddesses, heroines, etc.",,,,,2015-06-05T14:27:00Z
Bassorilievo - Egyptian head,http://digitalmontagny.inha.fr/en/record/montagny11v06d,Folio 11 Verso,"Leaf 11v, bottom of the page, right",Vertical,,,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,"Egyptian Goddesses, demi-goddesses, heroines, etc.",,,,,2015-06-17T11:59:00Z
Bassorilievo - Eros in a chariot pulled by wild boars,http://digitalmontagny.inha.fr/en/record/montagny63v01,Folio 63 Verso,"Leaf 63v, center of the page","Horizontal, turn book clockwise",,,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,"Boar, Chariot, Cupid",,,,,2015-08-15T14:29:00Z
Bassorilievo - Fasces,http://digitalmontagny.inha.fr/en/record/montagny02v02,Folio 2 Verso,"Leaf 2v, center of page",Vertical,"4, fasci consolari Antichi, nel cortile , del Palazzo Rondanini. , Roma",,White paper,"Ink, line drawing",Rome sketchbook,Original work of art (made from),Basso-rilievo with lictor fasces,Rome. Palazzo Rondanini,,"Courtyard, backwall",marble (rock),bas-relief (sculpture technique),,,Unknown,"42.230537, -83.7466403","Palazzo Rondanini, Rome",,Fasce,,,"Candilio and Bertinetti, 2011",,2015-09-12T18:50:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 109, n. 72",,
Bassorilievo - Faun,http://digitalmontagny.inha.fr/en/record/montagny51r06,Folio 51 Recto,"Leaf 51r, bottom of the page, right",Vertical,[ink] Musée Pio-Clementino,,White paper,"Pencil, chiaroscuro",Rome sketchbook,Original work of art (made from),,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,"Pio-Clementino museum, Vatican",,Faun,,,,,2015-07-27T13:31:00Z
Bassorilievo - Faun,http://digitalmontagny.inha.fr/en/record/montagny52r05,Folio 52 Recto,"Leaf 52r, bottom of the page, left",Vertical,"Musée Pio Clementino, à Rome",,White paper,"Pencil, chiaroscuro",Rome sketchbook,Original work of art (made from),,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,"Pio-Clementino museum, Vatican",,"Aulos, Faun",,,,,2015-07-27T13:31:00Z
Bassorilievo - Flamen's hat,http://digitalmontagny.inha.fr/en/record/montagny10v03b,Folio 10 Verso,"Leaf 10v, upper middle of the page, left",Vertical,"chapeau du flamine retiré , d’une frise Antique de Marbre,, qui est à Rome.",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,Flamen,"Du Choul, 1581 - p. 259",,,,2015-06-05T14:18:00Z
Bassorilievo - Garland,http://digitalmontagny.inha.fr/en/record/montagny10v05,Folio 10 Verso,"Leaf 10v, lower middle of the page, left",Vertical,"(Corpusculés ou Encarpées) , têtes de taureaux depouillez de leur chair , accompagnéz de festons. , figure retirée du Marbre Antique , qui est à Lyon.",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,Lyon,,"Bucranium, Garland, Rosette","Du Choul, 1581 - p. 317",,,,2015-06-05T14:18:00Z
Bassorilievo - Gorgon head,http://digitalmontagny.inha.fr/en/record/montagny11v06e,Folio 11 Verso,"Leaf 11v, bottom of the page, right",Vertical,"Tête de Meduse , Style grec",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,,,,,,,,Medusa,,,,,2015-06-17T11:59:00Z
Bassorilievo - Griffin,http://digitalmontagny.inha.fr/en/record/montagny46r01,Folio 46 Recto,"Leaf 46r, top of the page",Vertical,"il griffon era dedicato , ad Apollo, Griffòne Antico nel museo Pio Clementino , 12.",,White paper,"Ink, line drawing",Rome sketchbook,Original work of art (made from),Fragment from a sarcophagus with Griffin and lion,Vatican. Museo Pio-Clementino,,XLII 25 ? 1876 ?,,bas-relief (sculpture technique),First half of the 3rd c. A. D.,,,,,,Griffin,,,"Amelung, 1903",,2015-07-27T15:32:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreae et al., 1995",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, 3, pl. 825",,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Restored by Francesco Mercatali in 1928. inv. 376B, XLII 25",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Spinola, 2004",,
Bassorilievo - Griffin,http://digitalmontagny.inha.fr/en/record/montagny23r01,Folio 23 Recto,"Leaf 23r, top of the page",Vertical,"Griffon animal , fabuleux consacré , a Apollon , Griffòne antico nel museo Pio Clementino",,White paper,"Ink, line drawing",,Original work of art (made from),,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,"Museo Pio-Clementino, Rome",,Griffin,,,,,2015-08-03T16:10:00Z
Bassorilievo - Griffin and Cupid,http://digitalmontagny.inha.fr/en/record/montagny14v04,Folio 14 Verso,"Leaf 14v, lower middle of the page",Vertical,fragment de frise antique a villa Aldobrandine.,,Transparent paper,"Ink, line drawing",,Engraving,Fragment of a frieze,Vatican. Museo Pio-Clementino. Museo Gregoriano Profano,,Inv. no. 9648,marble (rock),bas-relief (sculpture technique),,,"Italy, Rome, Trajan's forum","41.8951795, 12.4853366","Villa Aldobrandini, Rome, Appartamenti Borgia, Vatican (from 1825)",,"Acanthus, Bowl, Crozier, Cupid, Griffin, Oenochoe, Rosette","Saint-Non et al., 1790 - SA, pl. 18c (59)",http://arachne.uni-koeln.de/item/objekt/21528,"Bober, Rubinstein, and Woodford, 1986",,2015-02-24T15:11:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n° 55,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Helbig and Speier, 1963",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"IV, 1, 1023",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Strong, 1923",,
Bassorilievo - Gutter in the shape of a lion's head,http://digitalmontagny.inha.fr/en/record/montagny02r04,Folio 2 Recto,"Leaf 2r, bottom of page, right",Vertical,"Style d’Architecture , terre cuite = (Roma) , = antique., 1er 2° , gronda ou , gouttière",,White paper,"Ink, chiaroscuro",,Cast,Gutter in the shape of a lion's head,Location unknown,,,terracotta (clay material),eaves gutters,,,,,,,Lion's head,,,,,2015-09-12T18:48:00Z
Bassorilievo - Gutter in the shape of a lion's head,http://digitalmontagny.inha.fr/en/record/montagny03r02,Folio 3 Recto,"Leaf 3r, bottom of page, left",Vertical,"Croquis fait en cachette des gardiens. , + gronda nel tempio di , castore e Polluce a , girgenti , + gouttière , (Scuola di Roma) , (Style Architecturé)",,White paper,"Pencil, chiaroscuro",,Cast,Gutter in the shape of a lion's head,Location unknown,,,terracotta (clay material),eaves gutters,,,,,,,Lion's head,,,,,2015-09-12T19:18:00Z
Bassorilievo - Gutter in the shape of a lion's head (front view),http://digitalmontagny.inha.fr/en/record/montagny02r02,Folio 2 Recto,"Leaf 2r, bottom left of page",Vertical,"(Ecole de Rome) , croquis fait en , cachette des gardiens , grondaja nel , Tempio d’Ercole. , [ink] à cori , c’est un ornement qui sert , de gouttière",,White paper,"Pencil, line drawing",,Cast,Gutter in the shape of a lion's head,Location unknown,,,terracotta (clay material),eaves gutters,,,,,,,Lion's head,,,,,2015-09-03T18:55:00Z
Bassorilievo - Gutter in the shape of a lion's head (profile view),http://digitalmontagny.inha.fr/en/record/montagny02r03,Folio 2 Recto,"Leaf 2r, bottom of page, center",Vertical,"gronda o sia , grondaja , Tempio , d’Ercole., (ink) à cori , c’est un , ornement qui sert , de gouttière , style d’Architecture",,White paper,"Pencil, line drawing",,Cast,Gutter in the shape of a lion's head,Location unknown,,,terracotta (clay material),eaves gutters,,,,,,,Lion's head,,,,,2015-09-03T18:55:00Z
Bassorilievo - Harvest,http://digitalmontagny.inha.fr/en/record/montagny16v02,Folio 16 Verso,"Leaf 16v, center of the page",Vertical,Stuc antique a ville Albane.,,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,terracotta (clay material),bas-relief (sculpture technique),,,,,"villa Albani, Rome (?)",,"Basket, Harvest, Vine","Saint-Non et al., 1790 - SA, pl. 12a (53)",,,,2015-09-12T18:08:00Z
Bassorilievo - Helmet,http://digitalmontagny.inha.fr/en/record/montagny08v03b,Folio 8 Verso,"Leaf 8v, middle left of the page","Horizontal, turn book clockwise",Elmo Antico,,White paper,"Ink, chiaroscuro",,Original work of art (made from),,Location unknown,,,,,,,,,,,Helmet,,,,,2015-06-05T10:40:00Z
Bassorilievo - Knife,http://digitalmontagny.inha.fr/en/record/montagny10v07a,Folio 10 Verso,"Leaf 10v, bottom of the page",Vertical,"[diagonal] couteau duquel estoit , demembrée la victime, par le Victimaire.",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,"Knife, Lion's head","Du Choul, 1581 - p. 322",,,,2015-06-05T14:21:00Z
Bassorilievo - Knife,http://digitalmontagny.inha.fr/en/record/montagny10v04b,Folio 10 Verso,"Leaf 10v, upper middle of the page, right",Vertical,"[diagonal] Secespita , ou couteau duquel les victimaires, couppoyent la gorge aux victimes",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,Knife,"Du Choul, 1581 - p. 314",,,,2015-06-05T14:18:00Z
Bassorilievo - Knife ornated with a sea-horse,http://digitalmontagny.inha.fr/en/record/montagny10v07b,Folio 10 Verso,"Leaf 10v, bottom of the page",Vertical,"couteaux que les victimaires , portoyent ordinairement pendus, a leur ceinture.",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,"Knife, Sea-horse","Du Choul, 1581 - p. 323",,,,2015-06-05T14:21:00Z
Bassorilievo - Lion skin,http://digitalmontagny.inha.fr/en/record/montagny09v03b,Folio 9 Verso,"Leaf 9v, bottom left of the page",Vertical,"Peau de la , victime mise parmy les autres, enseignes de la, religion",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,"Hide, Lion's skin","Du Choul, 1581 - p. 320",,,,2015-06-05T14:20:00Z
Bassorilievo - Maenad,http://digitalmontagny.inha.fr/en/record/montagny04r01,Folio 4 Recto,"Leaf 4r, top of the page","Horizontal, turn book clockwise","Bassorilievo , Antico nella , villa medici , Palmi uno e otto oncie",,White paper,"Ink, line drawing",,Cast,Maenad,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,Bacchant,,,,,2015-09-12T19:22:00Z
Bassorilievo - Maenad with hare and wild boar,http://digitalmontagny.inha.fr/en/record/montagny78r02,Folio 78 Recto,"Leaf 78r, bottom of the page","Horizontal, turn book clockwise","fragment, d'un Tombeau, Antique a villa, Albane",,Transparent paper,"Ink, line drawing",,Engraving,,Location unknown,,,,bas-relief (sculpture technique),,,,,"villa Albani, Rome",,"Bacchant, Boar, Hare","Saint-Non et al., 1790 - SA, pl. 14b' (55)",,,,2015-08-15T14:34:00Z
,,,,,,,,,,,,,,,,,,,,,,,,Omitted in Cayeux's numerotation,,,,
Bassorilievo - Man leading oxen,http://digitalmontagny.inha.fr/en/record/montagny07r01a,Folio 7 Recto,"Leaf 7r, top of the page",Vertical,Bassorilievo Antico nel Vaticano a Roma - 39,,White paper,"Pencil and ink, line drawing",Rome sketchbook,Original work of art (made from),Sarcophagus,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,"Pio Clementino museum, Vatican",,"Ox, Plough, plow",,,,,2015-09-12T19:38:00Z
"Bassorilievo - Marble medallion, Three Graces",http://digitalmontagny.inha.fr/en/record/montagny15v05,Folio 15 Verso,"Leaf 15v, bottom right of the page",Vertical,"aglaé ou aglé Thalie euphrosyne, les trois , grâces , avec , leur noms , villa , Borghese , marbre , 4 pieds , de , hauteur , marbre Antique",,Transparent paper,"Ink, line drawing",,Engraving,,Paris. Musée du Louvre,"48.8606111, 2.337644",MR 211,marble (rock),sculpture (visual work),2nd c. AD,,,,,,"Medallion, Three Graces","Saint-Non et al., 1790 - SA, pl. 18b (59)",,"Coliva, 2011",Saint Non's engraving is not completely accurate,2015-08-15T14:21:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 372-375, cat. N. 59",,
Bassorilievo - Neptune,http://digitalmontagny.inha.fr/en/record/montagny09v01,Folio 9 Verso,"Leaf 9v, top of the page",Vertical,Nettuno conducendo i cavalli marini. Bassorilievo Antico.,,White paper,"Ink, line drawing",,Original work of art (made from),"Neptune, basso-rilievo",Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,"Trident (Attributes of Neptune), Neptune, Sea-horse",,,,,2015-06-05T10:39:00Z
Bassorilievo - Pan,http://digitalmontagny.inha.fr/en/record/montagny51r04,Folio 51 Recto,"Leaf 51r, bottom of the page, left",Vertical,"[ink] Museo Pio-, Clementino",,White paper,"Pencil, chiaroscuro",Rome sketchbook,Original work of art (made from),,Location unknown,,,bronze (metal),bas-relief (sculpture technique),,,,,"Pio-Clementino museum, Vatican",,"Pan, Panpipes",,,,,2015-07-27T13:30:00Z
Bassorilievo - Poseidon,http://digitalmontagny.inha.fr/en/record/montagny52r06,Folio 52 Recto,"Leaf 52r, bottom of the page, right",Vertical,"musee Pio clementino , à Rome , bas relief",,White paper,"Pencil, line drawing",,Original work of art (made from),Poseidon in chiton with trident and dolphin,Vatican. Museo Pio-Clementino,,Inv. 1020 ; Am. 91 h ; Spi. PS 28,marble (rock),bas-relief (sculpture technique),Age of Hadrian (?),,,,"1771 Bartolomeo Cavaceppi, In the Loggia Scoperta until 1899, Museo Pio-Clementino",,"Dolphin, Neptune, Trident (Attributes of Neptune)",,,"Amelung, 1903",,2015-07-27T15:33:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreae et al., 1995",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, pl. 209",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"LIMC, 1981",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"VII, n° 74 p. 489",,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,s. v. Poseidon (E. Simon).,,
Bassorilievo - Procession of gods,http://digitalmontagny.inha.fr/en/record/montagny03v03,Folio 3 Verso,"Leaf 3v, bottom of the page",Vertical,"Palmi uno e , oncie Bassorilievo , Antico , nella villa medici",,White paper,"Ink, line drawing",,Cast,Quadrangular base - Procession of archaic gods - Detail,Rome. Villa Albani,"41.915375, 12.500762","Coffee House, inv. n. 685",marble (rock),bas-relief (sculpture technique),1st c. BC (early augustan age),middle of 16th c,"Italy, Rome","41.9027835, 12.4963655","unknown roman collection (until the 18th c.), villa Albani, Rome, in open air (18th c.), then in coffee house (19th c.)",,"Coat, Cybele, Juno, Neptune, Trident (Attributes of Neptune), Thyrsus, Wheat",,http://arachne.uni-koeln.de/item/objekt/28053,"Bol and Allroggen-Bedel, 1989",,2015-09-12T19:22:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"IV, p. 407-413, n. 521",,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,With further bibliography,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Helbig and Speier, 1963",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, pp. 80, n. 895",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reinach, 1909",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"III, pl. 129",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Winckelmann, 1767",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"vol. 1, pl. 6",,
Bassorilievo - Putto,http://digitalmontagny.inha.fr/en/record/montagny14v03b,Folio 14 Verso,"Leaf 14v, upper center of the page",Vertical,"fragment , antique à la , villa Borghese.",,Transparent paper,"Ink, line drawing",,Engraving,Frieze with Eros and garland,Rome. Villa Borghese,"41.9128873, 12.4852085",without inv. number because considered as a structure,marble (rock),bas-relief (sculpture technique),,,,,"17th - 18th c. : in the 2nd ""Recinto"" of the Villa, immured in the largest façade of the theater.",,"Bunch of grapes, Cupid, Fruit","Saint-Non et al., 1790 - SA, pl. 12d (53)",,"Moreno and Viacava, 2003",,2015-07-29T11:01:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 135-137 n. 101,,
Bassorilievo - Ram's head,http://digitalmontagny.inha.fr/en/record/montagny11v01a,Folio 11 Verso,"Leaf 11v, top of the page",Vertical,"Teste de mouton mise , entre les enseignes de la , religion par les anciens.",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,Ram's head,"Du Choul, 1581 - p.319 , p. 318",,,,2015-06-05T14:35:00Z
Bassorilievo - Rape of Europa,http://digitalmontagny.inha.fr/en/record/montagny06v01,,"Leaf 6v, center of the page","Horizontal, turn book clockwise","della villa Borghese , Bassorilievo Antico - Palmi 6 1/2 , un oncia 1/2",,White paper,"Ink, chiaroscuro",,Original work of art (made from),Rape of Europa,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,"Rome, villa Borghese",,"Bull, Europa, Jupiter, Jupiter, usually in the shape of a white bull, abducts Europa and carries her across the water",,,,,2015-09-12T19:37:00Z
Bassorilievo - Roman legionary,http://digitalmontagny.inha.fr/en/record/montagny72v03,Folio 72 Verso,"Leaf 72v, top of the page, right",Vertical,"Legionnaire Romain retiré du, marbre Antique, qui est à Magonce",,Transparent paper,"Ink, chiaroscuro",,Engraving,,Location unknown,,,marble (rock),,,,,,,,"Legionary, Shield, Spear","Du Choul, 1581 - p. 20",,,,2015-08-15T14:33:00Z
Bassorilievo - Sarcophagus of L. Cornelius Scipio,http://digitalmontagny.inha.fr/en/record/montagny71r03,Folio 71 Recto,"Leaf 71r, bottom of the page",Vertical,"[on the former drawing] Sarcophage de Scipion à Rome, 27, Sepolcro di Scipione nel museo Pio Clementino , in Pietra di color Bigio.",,White paper,"Pencil, line drawing",Rome sketchbook,Original work of art (made from),Sarkophagus of L. Cornelius Scipio Barbatus,Vatican. Museo Pio-Clementino,,Inv. 1191,peperino,bas-relief (sculpture technique),Beginning of the 2nd c. BCE,,"Italy, Rome, Via Appia, tomb of the Scipios","41.8365644, 12.5516","Pio-Clementino museum, Vatican",,"Acanthus, Rosette, Sarcophagus, Triglyphe",,,"Amelung, 1903",,2015-07-27T15:28:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Andreae et al., 1995",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, pl. 3-5",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Spinola, 2004",,
,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD 5,,
Bassorilievo - Seat,http://digitalmontagny.inha.fr/en/record/montagny53r01,Folio 53 Recto,"Leaf 53r, top of the page",Vertical,"33., Sedia Antica, che sta a SoStefano, Rotondo",,White paper,"Ink, line drawing",Rome sketchbook,Original work of art (made from),,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,,,"Palmette, Seat",,,,,2015-07-23T14:37:00Z
Bassorilievo - Seat (front view),http://digitalmontagny.inha.fr/en/record/montagny72r05,Folio 72 Recto,"Leaf 72r, bottom of the page",Vertical,"15, facciàta della Sedia Antica che sosteneva il torso, di Belvedere, nel Museo Pio Clementino",,White paper,"Ink, chiaroscuro",Rome sketchbook,Original work of art (made from),,Location unknown,,,marble (rock),bas-relief (sculpture technique),,,,,"Pio Clementino museum, Vatican",,Seat,,,,,2015-08-15T14:32:00Z
Bassorilievo - Seat (profile view),http://digitalmontagny.inha.fr/en/record/montagny72r01,Folio 72 Recto,"Leaf 72r, top of the page",Vertical,"Proffilo della Sedia Antica che serviva, a sopportare il torso di belvedere, nel museo Pio Clementino, 16",,White paper,"Ink, line drawing",Rome sketchbook,Original work of art (made from),,Location unknown,,,marble (rock),altar,,,,,"Pio Clementino museum, Vatican",,Seat,,,,,2015-08-15T14:31:00Z
